load_1_0;load_2_1;load_3_2;load_4_3;load_5_4;load_8_5;load_9_6;load_10_7;load_11_8;load_12_9;load_13_10
23.93;98.69;50.36;7.94;13.16;30.29;9.53;4.08;6.24;14.07;16.33
24.61;99.94;51.90;8.40;13.64;31.49;9.68;4.08;6.41;14.58;16.68
25.16;101.35;51.85;8.31;13.46;32.30;9.83;3.98;6.44;14.16;17.20
24.91;101.63;52.51;8.19;13.68;32.05;9.94;4.21;6.32;14.50;16.96
25.08;101.03;51.69;8.32;13.48;32.00;9.85;4.10;6.45;14.30;17.35
25.83;103.07;52.60;8.61;13.80;32.67;9.79;4.13;6.49;14.51;17.22
24.52;99.45;51.45;8.29;13.24;31.31;9.67;4.03;6.22;14.27;16.46
24.92;100.96;51.23;8.35;13.45;31.64;9.62;4.17;6.38;14.14;16.69
26.71;105.83;54.40;8.82;14.28;33.66;10.31;4.35;6.71;15.28;18.26
27.21;109.62;56.59;9.03;14.62;34.97;10.43;4.45;6.99;15.77;18.31
27.59;110.36;56.85;9.24;14.63;35.16;10.78;4.62;6.93;15.78;18.48
27.30;109.84;56.41;9.10;14.82;34.84;10.79;4.55;7.02;16.12;18.98
27.93;110.94;57.95;9.14;14.62;34.85;10.83;4.57;7.05;15.66;18.93
27.43;110.09;56.79;9.06;14.75;34.28;10.48;4.53;6.86;15.65;18.37
27.69;110.90;55.91;8.88;14.37;34.35;10.45;4.57;6.92;15.54;18.55
27.40;111.63;56.96;9.18;14.85;34.69;10.66;4.59;7.02;15.93;18.63
29.50;119.01;60.58;9.69;15.82;36.06;11.40;4.85;7.41;16.68;19.81
30.68;123.48;62.71;10.03;16.31;38.17;11.67;5.09;7.63;17.51;20.80
29.93;121.20;61.04;9.98;15.99;37.12;11.59;4.99;7.63;17.02;20.25
28.91;118.93;61.26;9.78;15.68;36.38;11.65;4.75;7.33;16.83;19.56
29.59;119.24;61.25;9.91;15.68;37.13;11.69;4.88;7.54;16.87;20.27
30.17;120.24;61.68;9.96;15.90;36.86;11.59;4.90;7.58;16.65;19.77
30.11;120.88;61.10;9.74;15.79;36.75;11.36;4.87;7.53;17.12;19.78
29.99;119.36;61.16;9.75;15.81;36.78;11.52;4.87;7.53;16.55;19.94
28.07;116.39;57.70;9.50;14.88;35.58;11.20;4.68;7.09;15.88;19.14
28.36;114.99;57.99;9.22;14.75;34.74;11.06;4.68;7.09;15.74;18.86
28.25;114.86;57.78;9.42;14.98;34.67;10.70;4.71;7.13;15.98;18.69
28.41;112.76;58.53;9.32;15.21;35.00;10.90;4.73;7.17;15.92;18.94
27.82;111.97;57.89;9.32;14.54;34.17;10.73;4.52;7.06;15.39;18.50
27.56;111.51;56.10;9.09;14.69;33.44;10.63;4.48;6.86;15.11;17.91
26.95;111.40;54.73;8.98;14.24;33.17;10.23;4.42;6.77;14.93;18.11
26.74;108.06;54.44;8.91;14.13;32.91;10.15;4.39;6.58;14.95;17.83
26.60;108.58;54.29;8.77;14.12;32.22;10.15;4.39;6.58;14.94;17.27
26.06;108.30;51.85;8.64;13.50;31.60;9.86;4.19;6.48;14.45;17.28
24.97;101.45;51.25;8.32;13.27;30.83;9.49;4.03;6.11;13.92;16.52
24.27;98.98;49.30;8.13;12.71;29.99;9.28;3.94;5.97;13.60;16.01
22.50;92.36;46.54;7.46;12.20;27.24;8.64;3.79;5.68;12.55;14.80
21.59;89.04;44.52;7.31;11.47;25.97;8.21;3.49;5.51;12.25;14.39
20.48;84.53;41.40;6.83;10.73;25.36;7.80;3.36;5.31;11.38;13.65
19.97;81.16;41.11;6.80;10.62;24.54;7.54;3.40;5.10;11.37;13.28
18.91;78.16;39.83;6.34;9.86;23.24;7.24;3.12;4.83;10.46;12.37
18.57;76.22;37.62;6.16;9.67;22.48;7.04;3.03;4.50;10.07;12.22
17.96;74.44;37.17;5.95;9.60;22.19;6.82;2.98;4.51;10.08;12.01
18.27;74.93;36.45;6.06;9.52;22.31;6.93;2.98;4.62;10.00;11.93
17.93;75.23;36.05;5.88;9.30;21.34;6.74;2.94;4.46;9.77;11.57
18.02;74.52;37.31;6.04;9.64;21.92;6.92;3.02;4.58;10.33;12.08
18.40;73.70;37.48;5.97;9.44;21.87;6.84;2.99;4.53;10.02;12.04
17.86;72.03;36.58;5.99;9.22;21.86;6.84;2.95;4.47;9.69;11.78
16.91;70.18;35.55;5.76;8.68;20.65;6.49;2.83;4.39;9.41;11.33
16.72;70.15;34.53;5.63;8.91;20.81;6.36;2.82;4.27;9.27;11.18
16.95;69.63;35.27;5.68;9.07;20.98;6.60;2.84;4.31;9.25;11.27
16.77;70.69;34.98;5.62;8.79;20.57;6.25;2.72;4.17;9.33;11.24
17.64;72.93;36.42;5.97;9.29;21.62;6.64;2.94;4.36;9.58;11.66
17.74;74.88;36.25;6.01;9.16;21.56;6.77;2.86;4.48;9.83;11.92
17.66;73.54;36.77;6.05;9.22;21.79;6.62;2.88;4.42;9.70;11.90
17.51;74.14;36.45;5.90;9.33;21.70;6.76;2.95;4.38;9.61;11.71
18.25;76.70;37.90;6.18;9.57;22.44;6.88;3.09;4.59;10.07;12.27
18.61;77.71;38.01;6.27;9.65;22.49;6.87;3.08;4.68;10.05;12.34
18.34;77.45;37.68;6.18;9.77;22.63;6.98;2.99;4.59;10.17;12.46
18.59;78.05;37.78;6.30;9.89;22.79;7.10;3.00;4.70;10.09;12.39
19.27;79.54;39.26;6.42;9.79;23.45;7.14;3.06;4.89;10.30;12.54
18.74;78.66;38.88;6.21;9.82;22.75;7.11;3.01;4.71;10.42;12.63
18.81;78.93;39.02;6.27;9.65;22.59;6.97;2.99;4.68;10.25;12.44
19.17;79.06;38.54;6.16;9.73;23.14;7.05;2.98;4.67;10.13;12.61
19.25;81.49;39.69;6.42;9.92;23.05;7.32;3.11;4.81;10.42;12.73
20.07;81.94;39.84;6.45;10.14;23.66;7.37;3.07;4.92;10.65;13.01
20.13;82.56;39.55;6.51;9.96;23.89;7.42;3.15;4.78;10.68;13.02
20.45;84.92;40.49;6.64;10.17;24.29;7.37;3.22;4.98;10.90;13.60
20.31;86.51;42.07;6.60;10.31;24.44;7.53;3.20;5.05;10.62;13.71
20.73;86.77;42.92;6.74;10.26;24.78;7.46;3.21;4.98;10.78;13.89
20.83;88.83;43.12;6.87;10.52;25.41;7.71;3.23;5.10;11.04;14.06
21.45;88.58;44.61;7.08;11.15;25.95;8.04;3.32;5.36;11.37;14.59
22.32;94.19;47.21;7.59;11.72;27.79;8.37;3.46;5.47;11.94;15.29
22.28;94.57;46.85;7.43;11.58;26.65;8.19;3.39;5.35;11.90;15.18
21.83;92.82;47.11;7.46;11.45;27.45;8.21;3.46;5.51;11.67;15.02
22.19;93.86;46.77;7.58;11.69;27.61;8.34;3.46;5.41;12.02;15.37
23.00;97.30;48.14;7.93;12.23;29.57;8.95;3.74;5.78;12.80;15.97
23.72;98.87;50.06;7.98;12.43;30.11;9.12;3.76;5.93;13.00;16.19
23.42;100.15;50.02;8.07;12.50;30.12;9.32;3.86;6.02;12.73;16.14
24.07;100.05;49.40;7.99;12.66;30.69;9.47;3.88;6.16;13.23;16.20
23.80;99.15;50.65;8.16;12.69;30.82;9.29;3.85;6.12;13.03;16.20
23.39;97.59;50.35;8.02;12.48;30.52;9.36;3.79;6.13;12.81;15.93
23.81;98.30;51.24;8.24;12.75;31.26;9.59;3.95;6.21;13.32;16.37
24.17;99.28;50.15;8.36;12.76;31.40;9.49;3.95;6.33;13.44;16.26
21.60;90.34;46.31;7.44;11.68;28.74;8.89;3.72;6.00;12.51;14.78
20.60;90.00;44.60;7.40;11.40;28.50;8.60;3.60;5.60;12.50;14.60
21.22;88.78;44.84;7.14;11.66;28.35;8.75;3.52;5.83;12.57;14.48
20.66;87.39;44.89;7.15;11.42;28.20;8.64;3.58;5.86;12.61;14.30
19.73;83.98;42.93;6.86;10.71;26.68;8.17;3.38;5.45;11.74;13.53
19.34;81.28;41.05;6.69;10.36;26.03;7.97;3.30;5.22;11.55;13.38
18.47;80.22;40.33;6.42;10.17;24.99;7.85;3.21;5.26;11.51;12.67
18.76;80.12;40.37;6.52;10.27;25.28;7.68;3.22;5.18;11.34;13.04
18.00;76.78;39.13;6.23;9.87;24.58;7.36;3.12;5.02;10.82;12.64
17.83;75.31;37.78;6.03;9.59;24.11;7.22;3.06;4.84;11.04;12.31
17.78;75.81;38.60;6.33;9.63;24.46;7.46;3.12;5.03;11.02;12.58
18.00;75.88;38.93;6.23;9.78;24.14;7.35;3.11;4.93;10.90;12.37
17.47;73.58;37.80;6.08;9.37;23.46;7.09;2.95;4.89;10.55;12.32
17.70;76.11;38.45;6.25;9.81;24.04;7.38;3.04;4.95;10.67;12.76
18.08;77.13;38.78;6.14;9.74;24.22;7.37;3.07;5.00;10.88;12.64
17.73;73.71;38.41;6.06;9.52;24.14;7.27;3.03;4.84;10.73;12.37
18.68;76.99;39.44;6.41;10.20;24.64;7.49;3.16;5.14;11.28;13.00
18.56;77.43;39.34;6.24;9.99;24.35;7.58;3.21;5.00;11.06;12.76
18.57;75.78;39.35;6.10;9.73;24.32;7.43;3.09;5.04;10.88;12.47
18.03;76.68;38.43;6.07;9.76;24.01;7.21;3.08;4.92;10.73;12.22
17.60;75.13;38.04;6.12;9.40;23.46;7.25;3.02;4.74;10.61;12.16
17.95;76.50;38.21;6.19;9.64;24.32;7.34;3.01;4.86;10.79;12.56
18.07;76.26;39.33;6.20;9.65;24.45;7.26;3.10;4.78;10.63;12.67
18.18;77.73;38.95;6.15;9.81;24.34;7.40;3.12;4.90;10.70;12.57
19.94;82.59;42.41;6.71;10.60;26.07;8.07;3.31;5.35;11.77;13.72
19.84;84.14;42.77;6.85;10.82;26.99;8.14;3.37;5.56;12.20;14.09
20.05;85.34;43.53;7.05;10.98;27.41;8.16;3.43;5.54;12.19;14.11
20.48;84.98;44.93;7.13;10.90;27.61;8.36;3.46;5.50;12.23;14.47
21.15;89.31;46.26;7.37;11.54;28.74;8.76;3.63;5.88;12.39;14.96
21.63;91.02;47.09;7.54;11.69;28.95;8.85;3.71;5.79;12.78;15.30
22.11;93.29;46.98;7.37;11.88;29.81;8.91;3.63;5.94;13.09;15.51
22.59;93.41;48.22;7.64;12.03;30.35;9.10;3.82;6.07;13.38;15.85
21.35;91.42;46.86;7.55;11.71;29.12;8.87;3.61;5.80;12.81;15.11
22.16;92.78;46.78;7.57;11.81;29.74;9.02;3.68;5.90;13.14;15.26
21.94;94.57;47.68;7.61;11.86;29.88;8.95;3.69;6.16;13.09;15.33
22.13;95.06;47.42;7.56;12.19;30.48;9.03;3.73;5.87;13.10;15.69
22.56;96.44;49.13;7.56;12.25;30.69;9.05;3.78;6.07;13.63;16.15
22.73;96.09;49.49;7.84;12.23;31.49;9.23;3.81;6.23;13.61;15.57
22.72;96.75;48.89;7.84;12.45;30.79;9.23;3.81;6.11;13.61;16.38
22.57;97.13;50.16;7.87;12.08;30.67;9.12;3.76;6.04;13.68;16.19
22.87;97.16;49.71;7.81;12.23;31.03;9.29;3.85;6.34;13.70;15.97
22.62;95.03;49.01;7.65;12.09;30.49;9.20;3.77;6.21;13.31;16.30
21.70;94.52;47.05;7.41;12.03;29.75;9.02;3.65;6.01;13.21;15.57
21.93;91.03;47.59;7.56;12.03;29.49;8.94;3.62;5.96;12.99;15.65
20.98;88.82;46.55;7.23;11.41;29.03;8.56;3.57;5.81;12.73;15.08
20.77;87.84;44.82;7.25;11.43;28.22;8.55;3.48;5.76;12.72;14.41
20.55;87.24;44.36;7.01;11.26;28.55;8.40;3.46;5.63;12.55;14.52
20.42;86.47;44.46;7.03;11.04;28.34;8.31;3.42;5.57;12.31;14.27
19.10;80.08;41.70;6.55;10.43;26.02;7.93;3.14;5.35;11.81;13.47
17.98;78.59;39.03;6.31;9.91;25.08;7.46;3.07;4.91;11.05;12.89
17.55;75.03;38.15;5.91;9.54;24.47;7.17;2.95;4.89;10.63;12.41
17.43;72.91;37.29;5.95;9.39;23.80;7.04;2.93;4.86;10.64;11.82
14.53;61.18;31.85;4.96;7.82;19.91;6.01;2.44;3.98;8.80;10.27
13.15;56.98;28.33;4.57;7.11;17.98;5.40;2.22;3.62;8.07;9.34
14.25;62.28;32.58;5.13;7.93;19.87;5.90;2.46;4.00;8.85;10.18
13.98;59.07;30.64;4.82;7.56;18.93;5.75;2.34;3.81;8.43;9.90
13.27;56.42;28.85;4.60;7.08;17.87;5.42;2.23;3.70;8.04;9.45
13.29;54.04;28.45;4.37;7.05;18.28;5.37;2.18;3.56;7.74;9.30
12.74;53.57;27.79;4.37;6.86;17.41;5.10;2.12;3.52;7.83;8.92
12.53;53.50;27.17;4.28;6.81;17.23;5.12;2.11;3.37;7.65;8.92
13.19;55.34;28.70;4.56;7.00;17.63;5.38;2.13;3.56;7.88;9.25
12.73;53.55;27.72;4.33;6.82;17.55;5.18;2.07;3.53;7.62;8.96
12.65;52.73;27.37;4.32;6.75;17.09;5.17;2.07;3.41;7.54;8.82
12.48;53.70;27.46;4.46;6.79;17.18;5.08;2.08;3.49;7.52;8.93
12.18;52.60;26.24;4.28;6.70;16.77;5.01;2.05;3.38;7.36;8.93
12.20;51.93;26.51;4.21;6.49;16.65;5.05;2.04;3.25;7.21;8.60
12.33;52.57;26.80;4.21;6.72;16.73;5.01;2.01;3.36;7.33;8.73
12.05;51.76;26.55;4.22;6.67;16.64;5.08;2.02;3.36;7.22;8.81
12.85;54.57;27.80;4.45;6.74;17.17;5.22;2.10;3.43;7.63;8.90
12.92;54.81;27.86;4.42;6.95;17.53;5.26;2.14;3.57;7.60;9.09
12.52;54.70;27.19;4.32;6.80;17.03;5.15;2.03;3.37;7.43;9.02
12.63;54.76;27.83;4.36;6.80;17.51;5.19;2.12;3.40;7.44;9.04
13.66;60.48;30.31;4.81;7.32;18.88;5.57;2.30;3.76;8.08;9.89
13.60;57.93;29.72;4.58;7.38;18.86;5.67;2.25;3.69;7.99;9.77
13.85;59.12;30.30;4.83;7.49;18.68;5.67;2.24;3.71;8.26;10.01
14.18;61.15;30.47;4.87;7.48;19.26;5.71;2.33;3.88;8.18;10.23
16.10;68.32;35.06;5.56;8.83;22.39;6.54;2.70;4.33;9.64;11.85
16.96;71.37;36.19;5.74;9.03;23.03;6.83;2.78;4.56;9.87;11.98
17.60;72.97;38.11;5.99;9.59;24.29;6.95;2.82;4.67;10.21;12.50
18.24;77.41;39.57;6.17;9.80;24.32;7.26;2.90;4.81;10.53;12.89
22.00;91.69;46.28;7.37;11.70;29.05;8.67;3.58;5.85;12.46;15.71
22.14;94.17;48.54;7.72;11.85;29.97;9.06;3.69;6.04;13.08;16.33
22.60;96.03;49.49;7.68;12.09;30.73;9.04;3.62;5.99;12.99;16.27
23.40;99.35;50.67;8.07;12.52;31.59;9.36;3.74;6.20;13.57;16.97
26.01;109.89;55.53;8.84;13.91;35.24;10.27;4.16;6.89;14.82;18.60
27.00;115.87;58.48;9.23;14.52;37.04;10.85;4.48;7.19;15.74;19.54
27.55;116.68;61.17;9.61;15.12;38.14;11.30;4.52;7.49;16.25;20.48
28.57;120.90;61.74;9.76;15.36;38.48;11.63;4.74;7.61;16.23;20.82
26.88;114.84;59.01;9.24;14.48;37.50;11.03;4.41;7.17;15.85;19.58
27.20;116.21;59.62;9.34;14.42;36.13;10.85;4.26;7.28;15.52;19.23
28.29;117.46;60.44;9.72;14.72;38.58;11.29;4.57;7.43;16.00;20.15
28.12;121.01;60.29;9.81;15.14;37.79;11.25;4.47;7.50;16.15;20.19
26.73;112.99;57.32;9.23;14.19;35.96;10.89;4.27;7.03;15.16;19.43
26.03;113.53;56.02;9.00;13.77;35.85;10.77;4.23;6.95;14.99;19.35
27.29;114.61;57.93;8.96;14.27;36.24;10.91;4.34;7.14;15.11;19.17
26.36;113.32;59.08;9.11;14.35;35.61;10.63;4.14;7.04;15.32;19.19
26.51;114.19;57.24;9.12;14.59;35.91;10.80;4.35;7.15;15.29;19.50
27.06;114.55;58.71;9.16;14.89;37.37;11.03;4.30;7.16;15.75;19.90
26.38;112.19;57.07;9.16;14.02;35.68;10.69;4.17;7.08;15.27;19.44
26.26;108.15;56.59;8.84;13.88;35.10;10.48;4.22;6.80;14.69;18.64
24.22;103.24;52.00;8.24;12.94;32.21;9.64;3.80;6.21;13.70;17.63
24.21;101.59;52.01;8.20;12.94;32.54;9.61;3.84;6.28;13.96;17.81
24.20;101.54;51.35;8.07;12.55;32.40;9.60;3.84;6.40;13.57;17.54
23.83;101.15;50.07;7.99;12.80;32.83;9.51;3.93;6.34;13.82;17.24
24.55;102.58;52.45;8.27;12.79;32.81;9.69;3.88;6.46;13.69;17.44
24.12;101.09;51.32;8.21;12.96;32.20;9.62;3.85;6.29;13.73;17.32
23.58;100.71;51.25;8.29;12.62;32.12;9.69;3.82;6.37;13.51;17.21
23.45;99.03;50.39;7.98;12.22;31.06;9.23;3.74;6.24;13.22;17.09
22.32;95.01;47.75;7.64;12.06;30.44;8.95;3.58;5.85;12.29;16.47
23.04;94.73;48.28;7.92;12.07;30.97;9.02;3.78;6.22;12.92;16.21
22.64;95.52;48.43;7.87;11.99;30.02;8.96;3.63;6.05;12.95;16.71
22.28;94.79;47.75;7.58;11.73;29.98;8.89;3.67;5.92;12.56;16.11
21.28;90.79;46.03;7.40;11.45;29.84;8.79;3.47;5.78;12.49;15.50
21.38;90.07;45.61;7.43;11.43;28.92;8.69;3.43;5.83;12.23;15.89
21.48;92.26;45.38;7.39;11.55;28.87;8.66;3.35;5.77;12.24;15.70
22.31;92.51;47.19;7.59;11.80;29.67;8.53;3.62;5.84;12.61;15.65
22.12;92.94;46.94;7.61;11.47;29.73;8.90;3.51;5.85;12.52;15.92
22.19;92.75;46.96;7.36;11.68;30.14;8.88;3.50;5.96;12.85;15.77
22.19;94.71;48.07;7.75;11.93;29.70;8.95;3.58;6.08;12.88;16.10
22.85;95.35;48.94;7.94;12.14;31.02;9.02;3.73;6.13;13.23;16.59
25.39;105.69;53.98;8.64;13.69;34.70;10.24;4.12;6.65;14.76;18.08
25.21;108.38;53.73;8.62;13.53;34.62;10.35;4.25;7.03;14.59;18.17
25.46;108.31;54.22;8.84;13.59;34.96;10.16;4.22;6.86;14.78;18.47
25.55;108.93;54.27;8.87;13.90;35.08;10.59;4.10;7.02;15.09;18.27
26.88;111.76;58.55;9.19;14.12;36.06;10.83;4.53;7.27;15.36;19.20
27.03;112.99;58.09;9.43;14.56;36.74;11.09;4.44;7.49;15.67;19.13
26.65;113.13;57.92;9.38;14.41;36.17;10.88;4.49;7.48;15.91;19.17
26.87;114.13;58.59;9.42;14.27;37.12;11.22;4.57;7.62;16.20;19.39
27.02;112.15;58.67;9.28;14.74;36.70;11.05;4.50;7.50;15.55;18.97
26.69;115.28;58.88;9.49;14.86;37.14;11.28;4.54;7.70;15.96;19.53
27.54;116.68;59.66;9.73;14.88;38.38;11.54;4.59;7.79;16.55;19.75
28.08;118.23;60.24;9.97;14.88;38.90;11.51;4.63;8.00;17.13;20.50
28.41;118.24;61.14;10.03;15.18;38.99;11.84;4.74;8.08;16.85;20.33
28.49;118.84;61.85;10.01;15.43;39.61;11.81;4.73;8.06;17.37;19.88
28.51;119.48;62.31;10.29;15.44;39.50;11.96;4.73;8.35;17.25;20.17
29.28;120.01;62.54;10.13;15.33;39.27;11.77;4.93;8.21;17.24;20.12
28.63;120.56;62.34;10.14;15.89;39.46;12.06;4.93;8.36;17.54;20.69
28.85;120.89;61.82;10.30;15.39;39.84;12.09;4.95;8.38;17.45;20.33
28.72;118.67;62.47;10.21;15.38;39.87;12.11;5.04;8.30;17.56;20.55
28.37;118.13;60.86;10.21;15.51;39.91;12.20;4.77;8.22;17.24;20.15
26.61;113.70;59.61;9.66;14.31;36.77;11.42;4.64;7.78;16.31;18.70
25.72;106.99;55.56;9.08;13.45;35.62;10.85;4.36;7.43;15.45;18.17
24.90;101.96;54.66;8.71;13.13;34.18;10.41;4.30;7.02;14.94;17.99
24.19;102.01;53.96;8.70;12.93;34.23;10.37;4.24;6.91;14.94;17.28
21.98;91.97;47.92;7.72;11.68;30.10;9.21;3.76;6.34;13.37;15.25
20.98;89.03;45.94;7.40;11.39;28.76;8.83;3.61;6.07;12.81;14.90
20.58;86.84;45.41;7.41;11.21;28.18;8.53;3.52;6.02;12.60;14.74
20.52;83.07;44.75;7.41;10.94;27.84;8.59;3.44;5.79;12.38;14.28
21.20;89.93;46.96;7.79;11.41;29.47;9.03;3.61;6.18;13.02;15.30
21.42;88.90;47.20;7.68;11.47;29.29;9.00;3.60;6.16;12.98;15.26
20.62;86.59;45.07;7.48;10.95;28.56;8.67;3.56;5.84;12.50;14.51
20.30;85.72;44.33;7.30;10.95;27.42;8.37;3.29;5.79;12.37;14.24
20.97;88.29;44.69;7.60;11.08;28.76;8.70;3.57;5.95;12.64;14.38
21.10;87.14;45.66;7.37;11.01;28.56;8.73;3.55;5.91;12.64;14.46
20.86;86.30;44.59;7.46;10.88;28.50;8.45;3.51;6.02;12.50;14.38
19.98;82.88;42.30;7.09;10.64;27.25;8.31;3.37;5.71;12.11;14.10
17.79;72.00;38.80;6.36;9.28;24.15;7.28;2.99;4.98;10.66;12.34
17.66;72.54;38.53;6.19;9.40;24.54;7.34;2.98;5.12;10.85;12.23
16.96;69.14;36.10;6.07;8.99;23.02;7.02;2.85;4.82;10.16;11.47
16.27;67.49;34.95;5.83;8.81;22.24;6.82;2.77;4.76;10.16;11.58
16.15;68.66;35.65;5.83;8.61;22.41;6.76;2.77;4.70;10.17;11.24
16.61;69.04;35.61;5.73;8.85;22.77;6.96;2.83;4.79;10.37;11.68
16.65;67.90;35.32;5.84;8.87;22.99;6.99;2.81;4.76;10.09;11.60
16.49;68.28;36.16;5.91;8.79;22.83;6.99;2.74;4.75;10.30;11.52
16.50;68.10;36.04;6.01;8.90;23.16;6.95;2.82;4.70;10.13;11.43
16.33;67.15;35.14;5.75;8.87;22.36;6.89;2.84;4.68;10.15;11.29
16.12;66.46;34.91;5.75;8.34;22.22;6.80;2.73;4.56;9.88;11.08
16.30;66.85;35.26;5.89;8.69;22.76;6.97;2.87;4.67;10.27;11.35
15.82;65.16;34.50;5.64;8.57;22.16;6.69;2.72;4.60;9.90;10.94
15.93;66.34;34.68;5.78;8.53;22.56;6.84;2.75;4.65;9.94;11.21
16.41;68.28;35.39;5.85;8.56;22.26;6.85;2.85;4.71;10.20;11.27
16.17;66.89;35.18;5.89;8.58;22.63;6.95;2.84;4.68;10.00;11.35
18.06;74.54;38.96;6.44;9.66;24.90;7.62;3.06;5.18;11.07;12.49
18.48;76.40;40.00;6.48;9.84;25.04;7.60;3.12;5.36;11.04;12.72
18.41;77.42;39.24;6.62;9.77;25.83;7.83;3.15;5.41;11.46;12.76
19.24;80.07;42.10;6.83;10.38;26.75;8.18;3.29;5.48;11.98;13.58
22.77;94.82;49.80;8.23;12.20;32.32;9.76;3.96;6.71;14.53;16.06
23.47;97.38;51.07;8.27;12.41;32.87;9.92;4.14;6.82;14.58;16.23
23.64;99.91;52.32;8.51;12.92;32.67;10.09;4.10;6.72;15.02;16.81
