load_1_0;load_2_1;load_3_2;load_4_3;load_5_4;load_8_5;load_9_6;load_10_7;load_11_8;load_12_9;load_13_10
9.80;40.22;20.41;3.22;5.37;12.83;3.96;1.61;2.55;5.57;6.92
9.89;40.57;20.52;3.23;5.38;13.05;3.90;1.68;2.56;5.65;7.00
9.74;40.16;20.55;3.20;5.40;12.88;3.94;1.67;2.54;5.60;6.81
9.93;40.13;21.08;3.31;5.40;12.90;3.92;1.62;2.50;5.81;6.96
10.38;42.09;21.46;3.41;5.57;13.17;4.11;1.67;2.65;5.92;7.11
10.22;41.23;21.55;3.38;5.59;13.33;4.07;1.73;2.56;5.87;7.04
10.64;43.71;22.00;3.55;5.75;13.41;4.12;1.70;2.70;6.10;7.31
10.49;42.91;22.21;3.59;5.82;13.51;4.24;1.73;2.73;6.25;7.40
10.86;43.81;22.09;3.53;5.76;13.81;4.24;1.80;2.73;6.12;7.27
10.34;42.07;22.03;3.54;5.59;13.67;4.25;1.77;2.69;6.02;7.22
11.19;45.30;23.59;3.71;6.05;14.37;4.46;1.89;2.87;6.35;7.86
11.35;47.81;24.26;3.81;6.22;14.93;4.51;1.94;2.95;6.69;7.93
11.63;46.89;24.66;3.82;6.40;14.82;4.53;1.95;2.96;6.63;7.88
11.54;47.41;24.56;3.90;6.32;15.05;4.60;1.95;3.04;6.71;7.87
11.72;46.88;24.46;3.83;6.33;14.69;4.61;1.95;2.97;6.72;8.05
11.64;47.72;24.69;3.85;6.45;14.94;4.64;1.97;3.07;6.92;8.02
11.51;46.35;24.25;3.91;6.22;14.81;4.53;1.92;2.92;6.52;7.83
11.51;47.14;24.03;3.94;6.18;14.68;4.64;1.93;3.01;6.80;7.80
12.34;50.51;26.00;4.14;6.62;15.65;4.97;2.07;3.15;7.12;8.36
12.46;51.71;26.20;4.24;6.70;16.02;4.92;2.12;3.31;7.38;8.56
12.92;52.36;25.92;4.28;6.84;16.08;5.05;2.14;3.34;7.44;8.56
13.00;52.43;26.86;4.25;6.85;16.38;5.03;2.17;3.29;7.37;8.67
14.44;58.43;29.65;4.78;7.80;18.44;5.66;2.34;3.71;8.19;9.75
14.92;58.58;30.44;4.91;7.91;18.42;5.81;2.40;3.80;8.41;9.91
14.48;59.91;30.46;4.89;7.79;18.37;5.59;2.40;3.69;8.19;9.69
14.92;60.29;30.66;5.01;7.97;18.60;5.82;2.45;3.78;8.48;9.91
15.44;62.06;31.94;5.15;8.25;19.51;6.00;2.57;3.86;9.00;10.50
15.53;62.35;32.36;5.18;7.98;19.42;6.04;2.59;3.99;8.74;10.46
15.95;62.80;32.11;5.13;8.41;19.44;6.01;2.62;3.93;8.74;10.49
15.78;63.36;32.79;5.22;8.45;20.01;6.00;2.67;4.00;8.89;10.45
15.83;62.54;32.55;5.35;8.25;19.40;6.02;2.68;3.90;8.92;10.48
15.73;64.83;32.47;5.28;8.43;20.00;6.07;2.58;4.04;8.88;10.56
16.20;64.92;33.66;5.36;8.56;20.08;6.16;2.62;4.11;9.01;10.61
16.22;66.39;33.94;5.29;8.63;19.90;6.21;2.65;4.03;9.20;10.82
16.52;67.86;34.58;5.47;8.91;20.32;6.42;2.73;4.16;9.39;11.05
16.93;68.92;34.46;5.56;8.95;20.92;6.53;2.78;4.23;9.55;11.12
16.82;67.98;34.23;5.65;8.89;20.54;6.37;2.76;4.20;9.25;11.17
17.10;68.27;35.04;5.46;8.97;20.25;6.43;2.79;4.24;9.70;11.40
16.85;67.40;34.67;5.70;8.73;20.36;6.55;2.79;4.24;9.33;11.15
17.96;71.44;36.29;5.86;9.17;21.52;6.62;2.93;4.33;9.81;11.72
17.47;71.54;36.86;5.91;9.25;21.32;6.68;2.95;4.37;9.76;11.82
17.10;69.53;35.08;5.74;9.06;21.56;6.63;2.93;4.34;9.57;11.48
15.13;62.77;31.05;5.08;7.90;18.63;5.98;2.48;3.73;8.47;10.05
14.98;61.24;30.17;5.10;7.88;18.19;5.77;2.44;3.77;8.32;9.98
14.84;60.01;30.23;4.91;7.64;17.79;5.56;2.40;3.71;8.18;9.71
14.80;60.09;30.38;4.83;7.90;17.98;5.48;2.41;3.73;8.22;9.65
13.69;55.88;28.41;4.56;7.36;16.90;5.29;2.28;3.53;7.57;9.23
13.49;55.92;28.32;4.60;7.26;16.87;5.21;2.15;3.48;7.67;8.89
13.50;55.00;27.50;4.46;7.00;16.54;5.07;2.23;3.35;7.51;9.03
13.18;53.92;26.66;4.36;6.94;15.86;5.05;2.18;3.27;7.43;8.82
13.63;56.05;27.67;4.54;7.12;17.03;5.26;2.27;3.41;7.54;9.29
13.24;55.21;27.30;4.48;7.13;16.50;5.09;2.24;3.36;7.44;8.96
13.59;54.54;26.97;4.33;7.14;16.00;5.13;2.11;3.32;7.14;8.76
13.26;55.04;26.62;4.42;6.93;16.17;5.12;2.21;3.31;7.23;8.84
13.09;53.56;26.58;4.36;6.74;15.67;4.96;2.08;3.17;7.24;8.73
12.98;52.59;26.05;4.29;6.73;15.61;4.88;2.05;3.22;7.02;8.49
12.93;52.13;25.97;4.18;6.61;15.66;4.86;2.04;3.21;7.00;8.46
12.60;51.75;25.68;4.26;6.59;15.41;4.85;2.04;3.20;6.98;8.43
12.21;51.57;25.27;4.04;6.39;15.12;4.70;2.07;3.10;6.76;8.17
12.35;50.82;25.18;4.12;6.36;14.79;4.68;1.97;3.09;6.74;8.14
12.02;49.73;24.49;4.07;6.38;14.70;4.62;1.94;3.05;6.56;7.95
11.81;49.08;24.81;3.94;6.13;14.37;4.49;1.92;3.02;6.59;7.97
11.82;48.81;23.47;3.94;6.00;14.06;4.30;1.88;2.96;6.36;7.70
11.70;48.56;23.57;3.90;6.11;14.00;4.34;1.86;2.84;6.29;7.71
11.63;48.58;24.07;3.73;5.95;14.03;4.35;1.86;2.84;6.22;7.73
11.25;46.21;23.28;3.75;5.93;13.69;4.27;1.83;2.88;6.19;7.59
11.87;50.37;24.77;4.08;6.22;14.47;4.55;1.95;3.06;6.49;7.98
11.60;49.50;24.48;3.90;6.07;14.23;4.44;1.99;2.99;6.35;7.98
11.93;50.19;24.60;4.01;6.38;14.30;4.55;1.91;3.01;6.47;7.93
11.75;49.80;24.04;3.89;6.15;14.55;4.43;1.90;2.98;6.51;7.95
12.20;51.12;25.05;4.10;6.33;14.62;4.56;1.96;3.07;6.61;8.29
12.37;50.94;24.83;3.97;6.28;14.95;4.61;1.94;3.05;6.55;8.12
12.29;50.72;24.76;4.06;6.28;14.97;4.62;1.94;3.05;6.65;8.22
12.12;50.55;24.42;4.04;6.02;14.63;4.40;1.98;2.96;6.55;7.90
12.76;52.66;26.09;4.29;6.57;15.24;4.76;2.00;3.14;6.86;8.57
12.80;54.26;26.36;4.20;6.50;15.67;4.68;2.01;3.15;6.97;8.69
13.26;53.99;26.51;4.32;6.63;15.47;4.80;2.02;3.27;6.92;8.74
13.25;55.26;27.68;4.39;6.63;15.98;4.97;2.05;3.31;7.11;8.97
14.28;59.19;29.49;4.62;7.30;17.06;5.24;2.16;3.49;7.60;9.56
14.63;60.72;30.10;4.81;7.32;17.04;5.33;2.30;3.55;7.63;9.72
14.90;62.33;30.54;4.83;7.35;17.73;5.46;2.31;3.67;7.77;9.97
14.68;62.73;30.84;4.96;7.71;17.95;5.49;2.32;3.59;7.81;10.24
15.21;64.90;32.18;5.25;7.88;18.71;5.69;2.41;3.94;8.21;10.62
16.01;68.08;33.15;5.26;8.29;19.71;5.93;2.46;3.92;8.40;10.86
15.75;65.42;33.48;5.29;8.26;19.05;5.84;2.53;3.85;8.48;10.46
15.89;67.29;33.32;5.37;8.33;20.06;6.03;2.52;3.84;8.44;10.96
15.58;65.86;32.45;5.26;8.06;19.98;6.02;2.47;3.87;8.49;10.53
15.68;66.05;32.86;5.37;8.38;19.87;5.91;2.47;3.87;8.48;10.63
15.71;66.30;33.04;5.31;8.45;20.04;6.07;2.60;4.01;8.67;10.83
15.76;66.85;34.13;5.43;8.37;20.65;6.20;2.50;4.02;8.70;10.87
15.42;64.55;32.86;5.39;8.45;20.18;6.02;2.54;4.01;8.56;10.56
15.55;65.99;32.47;5.25;8.20;20.60;6.20;2.63;4.10;8.72;10.72
15.48;63.29;32.42;5.20;8.42;20.06;6.13;2.60;4.05;8.63;10.60
15.36;65.10;32.60;5.22;8.26;20.06;6.17;2.61;4.18;8.88;10.45
15.40;63.89;32.77;5.17;8.37;20.06;6.31;2.58;4.14;8.89;10.44
15.73;65.45;33.15;5.38;8.45;20.38;6.33;2.64;4.22;9.08;10.66
15.81;65.37;33.01;5.45;8.55;21.15;6.41;2.67;4.38;9.51;10.68
15.75;65.64;33.51;5.39;8.46;21.03;6.34;2.64;4.33;9.30;10.78
14.72;62.86;32.49;5.08;8.12;20.31;6.09;2.54;4.16;8.94;10.46
14.69;62.43;31.73;5.10;8.06;20.71;6.22;2.55;4.18;9.08;10.41
14.96;61.96;32.05;5.19;8.24;19.94;6.21;2.65;4.17;8.95;10.28
15.36;64.23;32.79;5.19;8.30;20.03;6.33;2.59;4.25;9.13;10.48
15.45;65.38;33.21;5.36;8.41;20.18;6.41;2.63;4.31;9.56;10.72
15.06;63.70;32.43;5.23;8.26;20.50;6.17;2.61;4.29;9.41;10.46
14.90;63.55;32.61;5.21;8.23;20.94;6.04;2.60;4.27;8.96;10.52
15.41;64.50;33.46;5.28;8.34;20.48;6.33;2.64;4.22;9.18;10.56
15.45;64.55;33.12;5.29;8.25;20.42;6.35;2.65;4.23;9.42;10.69
15.56;65.65;33.36;5.33;8.31;20.89;6.29;2.56;4.26;9.27;10.55
15.28;64.76;32.92;5.34;8.44;20.84;6.31;2.67;4.27;9.30;10.47
15.44;65.96;33.46;5.25;8.37;20.38;6.33;2.57;4.29;9.33;10.72
15.98;64.78;33.70;5.47;8.64;21.23;6.46;2.74;4.27;9.41;11.05
15.11;64.63;33.02;5.29;8.42;20.50;6.37;2.59;4.21;9.28;10.90
15.60;66.93;33.57;5.31;8.34;21.12;6.39;2.71;4.22;9.21;10.72
15.27;64.53;33.35;5.41;8.34;20.68;6.28;2.60;4.33;9.31;10.72
15.17;65.30;32.49;5.27;8.07;20.22;6.13;2.58;4.20;9.14;10.87
15.50;63.51;33.14;5.13;8.13;20.74;6.09;2.57;4.06;9.19;10.48
15.30;64.18;32.95;5.13;8.13;20.54;6.20;2.57;4.17;9.20;10.70
15.21;63.61;33.20;5.25;8.25;20.35;6.21;2.57;4.18;9.00;10.50
15.60;66.17;33.42;5.31;8.41;20.80;6.42;2.66;4.32;9.41;10.95
15.28;65.36;32.73;5.24;8.40;20.40;6.11;2.62;4.26;9.17;10.80
15.47;62.73;32.99;5.30;8.22;20.33;6.06;2.60;4.11;9.19;10.82
15.35;63.54;32.20;5.04;8.16;20.29;6.12;2.58;4.19;8.91;10.41
15.15;62.52;32.55;5.16;8.06;20.09;6.12;2.58;4.08;9.02;10.63
15.17;63.15;32.38;5.16;8.18;20.23;6.13;2.58;4.09;8.93;10.44
14.96;64.74;32.75;5.24;8.19;20.42;6.22;2.51;4.04;9.06;10.92
15.29;64.89;32.89;5.28;8.14;20.46;6.16;2.64;4.07;9.13;10.67
15.27;62.61;32.62;5.27;8.13;20.21;6.26;2.64;4.17;9.01;10.65
15.35;64.50;32.91;5.30;8.17;20.32;6.19;2.54;4.09;9.17;10.71
15.13;64.13;33.00;5.15;8.22;20.50;6.14;2.52;4.17;8.99;10.74
15.30;65.08;33.81;5.32;8.20;20.95;6.21;2.55;4.10;9.31;10.64
15.54;66.65;33.44;5.18;8.33;20.83;6.19;2.59;4.17;9.34;11.03
15.45;67.15;34.54;5.45;8.41;21.36;6.36;2.61;4.20;9.54;10.91
15.68;66.09;33.84;5.41;8.46;20.87;6.20;2.59;4.29;9.25;11.05
15.31;64.10;33.26;5.29;8.15;20.92;6.17;2.53;4.18;9.03;10.90
15.44;64.68;32.72;5.22;8.15;20.44;6.20;2.50;4.02;9.13;10.54
15.14;65.63;33.09;5.08;8.33;21.19;6.16;2.49;4.11;8.97;10.70
15.05;65.06;33.06;5.30;8.16;20.87;6.15;2.54;4.03;9.11;10.49
14.99;64.14;32.49;5.21;8.23;20.72;6.14;2.50;4.16;9.06;10.72
14.22;59.35;30.80;4.91;7.85;19.72;5.89;2.45;3.83;8.63;10.10
14.12;59.09;30.65;4.71;7.49;19.31;5.76;2.31;3.84;8.74;9.80
13.99;59.89;30.66;4.79;7.57;19.16;5.65;2.40;3.83;8.43;9.87
13.55;57.48;29.63;4.67;7.48;18.88;5.61;2.34;3.74;8.13;9.53
13.54;57.98;29.78;4.67;7.28;18.30;5.60;2.24;3.73;8.22;9.71
13.43;57.63;29.46;4.63;7.23;18.44;5.47;2.32;3.71;8.15;9.36
13.24;57.17;29.23;4.60;7.26;18.20;5.42;2.21;3.68;8.18;9.47
13.14;56.90;29.05;4.50;7.26;17.92;5.42;2.21;3.68;8.09;9.38
12.82;54.29;27.76;4.51;6.90;17.51;5.30;2.12;3.54;7.69;9.11
12.49;53.33;27.14;4.31;6.89;16.89;5.08;2.15;3.45;7.50;8.79
12.19;50.99;25.87;4.15;6.47;16.67;4.89;1.99;3.32;7.30;8.54
11.82;49.08;25.51;4.05;6.40;16.20;4.78;1.94;3.32;7.05;8.26
12.35;52.74;27.01;4.35;6.65;17.30;5.03;2.13;3.41;7.58;8.78
12.58;53.54;27.11;4.22;6.59;16.89;5.07;2.11;3.38;7.43;8.61
12.19;52.14;26.28;4.14;6.55;16.33;4.89;1.99;3.32;7.38;8.54
11.72;50.01;25.37;3.96;6.38;16.48;4.85;1.94;3.23;7.03;8.24
11.61;49.69;25.74;4.14;6.25;16.24;4.79;1.95;3.25;7.15;8.44
11.91;50.63;25.84;3.97;6.40;16.12;4.78;1.94;3.24;6.97;8.26
11.60;49.65;25.56;4.06;6.41;16.31;4.79;1.95;3.25;7.14;8.44
11.79;49.59;26.17;3.98;6.42;15.85;4.80;1.95;3.25;7.07;8.37
12.14;50.73;25.53;4.10;6.45;15.99;4.94;2.01;3.18;7.20;8.54
11.72;49.86;25.18;3.96;6.44;15.85;4.87;1.98;3.14;6.93;8.42
12.03;50.97;25.49;4.04;6.39;16.23;4.88;1.93;3.28;6.98;8.50
12.08;52.17;26.21;4.11;6.51;16.11;4.88;1.97;3.17;7.20;8.57
12.00;51.99;26.35;4.17;6.52;16.61;4.87;2.00;3.30;7.22;8.78
12.53;52.44;27.29;4.27;6.67;17.42;5.07;2.04;3.38;7.29;8.98
12.31;53.80;26.85;4.37;6.87;17.04;5.09;2.05;3.39;7.32;8.92
12.33;52.57;26.59;4.23;6.52;16.64;4.93;2.03;3.35;7.13;8.72
12.73;54.80;27.49;4.43;6.92;17.62;5.17;2.12;3.41;7.66;9.04
12.85;54.42;27.62;4.40;7.07;17.62;5.23;2.11;3.30;7.62;9.08
12.74;53.41;27.29;4.25;6.78;17.26;5.15;1.99;3.34;7.41;9.04
12.85;55.18;27.73;4.50;6.79;17.54;5.23;2.11;3.40;7.53;9.18
13.68;60.35;30.42;4.76;7.43;18.83;5.55;2.28;3.77;8.03;10.01
13.96;59.84;30.02;4.79;7.58;18.95;5.68;2.29;3.69;8.28;9.87
14.03;58.94;30.07;4.81;7.52;19.05;5.61;2.31;3.71;8.12;10.12
14.04;60.71;29.80;4.85;7.58;18.99;5.56;2.32;3.74;8.28;10.20
14.73;62.33;31.80;5.09;7.84;20.03;6.15;2.44;3.92;8.69;10.81
14.93;63.81;32.01;5.16;8.06;20.52;6.12;2.47;3.87;8.81;10.74
15.59;64.55;33.16;5.31;8.29;20.67;6.30;2.54;4.09;9.17;11.05
15.37;65.84;33.87;5.38;8.30;21.42;6.28;2.58;4.15;8.97;11.33
15.94;67.40;34.61;5.35;8.43;21.63;6.38;2.62;4.21;9.11;11.16
16.43;66.78;35.43;5.59;8.74;22.26;6.64;2.68;4.31;9.32;11.77
16.31;69.93;34.49;5.51;8.92;21.82;6.57;2.58;4.34;9.62;11.62
16.20;67.35;34.84;5.59;8.62;21.79;6.53;2.68;4.31;9.32;11.54
15.95;68.83;34.36;5.47;8.62;21.54;6.64;2.68;4.31;9.32;11.76
16.94;71.19;36.81;5.73;8.90;23.16;6.70;2.80;4.39;9.63;12.31
16.78;71.95;36.41;5.92;9.01;23.08;6.79;2.72;4.57;9.75;12.09
17.18;73.14;37.52;5.94;9.22;23.37;6.82;2.78;4.55;9.73;12.51
16.97;71.74;35.81;5.86;9.11;23.21;6.86;2.74;4.49;9.86;12.35
17.15;72.92;36.84;5.72;9.27;23.25;6.73;2.79;4.45;10.04;12.45
17.79;72.84;37.51;5.93;9.41;23.33;6.96;2.84;4.51;9.93;12.63
17.22;75.78;37.96;6.00;9.52;23.61;7.17;2.74;4.57;9.78;12.78
16.76;73.86;36.61;5.93;9.28;23.46;6.96;2.84;4.51;9.80;12.50
17.20;75.50;37.49;5.95;9.44;23.27;6.85;2.84;4.53;9.83;12.80
17.80;75.30;37.98;6.11;9.43;24.04;7.17;2.79;4.65;10.23;13.01
17.79;75.57;38.65;6.02;9.50;24.07;7.09;2.94;4.68;10.16;12.84
17.58;74.59;38.09;5.99;9.46;23.44;7.06;2.80;4.66;10.12;12.65
17.54;75.79;38.16;6.03;9.37;24.24;7.23;2.81;4.69;10.04;13.12
17.90;75.37;37.82;6.06;9.42;24.49;7.27;2.83;4.71;9.96;13.05
17.72;74.68;38.02;6.09;9.33;23.95;7.17;2.84;4.74;9.88;12.85
17.67;73.51;38.03;6.07;9.31;23.60;7.01;2.83;4.72;9.98;12.95
17.79;76.07;38.72;6.16;9.71;24.63;7.11;2.87;4.79;9.99;13.13
17.53;75.67;38.45;6.11;9.51;24.18;7.20;2.85;4.62;10.05;12.91
17.84;75.30;38.40;6.13;9.40;24.10;7.08;2.86;4.77;10.35;12.80
18.10;78.02;39.71;6.31;9.68;24.98;7.30;2.95;4.91;10.38;13.47
18.23;76.56;39.25;6.26;9.88;24.50;7.38;2.92;4.73;10.30;13.22
18.55;79.60;39.52;6.28;9.99;25.11;7.56;3.00;4.99;10.56;13.70
18.49;77.06;40.08;6.35;9.88;24.70;7.34;2.96;4.94;10.59;13.41
18.47;79.72;39.50;6.54;9.80;25.15;7.53;2.98;4.97;10.52;13.64
18.80;76.77;40.01;6.36;10.04;24.74;7.35;2.97;4.95;10.60;13.43
18.41;75.18;38.50;6.28;9.76;24.97;7.39;2.93;4.74;10.46;13.11
17.99;76.44;39.06;6.28;9.62;24.83;7.25;2.93;4.88;10.32;13.39
18.30;76.56;38.98;6.15;9.50;25.01;7.40;2.93;4.89;10.62;13.13
18.34;77.56;39.76;6.30;9.80;24.92;7.28;2.94;4.90;10.64;13.16
18.19;76.33;39.41;6.34;9.78;24.39;7.30;3.03;4.96;10.47;13.23
17.85;75.60;38.41;6.22;9.60;24.21;7.30;2.98;4.87;10.28;12.85
18.65;76.80;39.78;6.22;9.53;25.00;7.46;3.04;4.97;10.64;13.26
18.40;77.41;38.43;6.27;9.81;25.35;7.36;3.00;5.04;10.49;13.22
17.89;73.93;37.76;6.09;9.41;24.38;7.29;2.91;4.90;10.33;12.85
17.15;71.77;37.34;5.84;9.40;23.37;6.99;2.79;4.70;9.78;12.45
17.47;74.38;37.25;6.17;9.25;24.02;7.07;2.83;4.75;10.15;12.59
17.26;72.99;37.95;6.09;9.39;23.74;7.11;2.92;4.70;10.15;12.57
17.71;72.89;38.11;6.16;9.62;23.48;7.19;2.95;5.00;10.27;12.58
18.06;75.23;38.33;6.24;9.49;24.56;7.28;2.99;4.94;10.39;12.86
17.79;74.01;37.52;6.19;9.28;24.50;7.35;2.97;5.16;10.44;12.51
17.38;74.03;38.76;6.31;9.66;24.59;7.34;2.96;5.02;10.69;12.75
17.80;74.65;38.92;6.10;9.28;24.04;7.38;2.93;4.96;10.68;12.84
18.26;75.48;39.60;6.17;9.90;25.46;7.59;3.09;5.01;10.67;13.12
17.99;74.86;38.63;6.21;9.63;25.08;7.47;3.04;5.07;10.89;12.79
17.92;75.43;38.34;6.22;9.46;24.40;7.34;2.99;5.10;10.58;12.57
17.99;73.79;38.68;6.28;9.61;24.64;7.51;3.08;5.17;10.84;12.57
17.45;73.33;38.54;6.18;9.45;23.88;7.39;3.03;5.09;10.42;12.73
17.20;72.30;37.31;6.04;9.30;23.71;7.32;2.91;4.88;10.46;12.09
17.16;70.93;36.94;5.91;8.98;23.53;7.16;2.84;4.89;10.12;11.82
16.93;69.74;37.01;5.87;8.92;23.25;7.11;2.82;4.85;10.04;11.85
16.83;69.55;36.35;5.95;8.97;23.11;7.18;2.80;4.82;9.98;12.12
16.65;68.67;35.92;5.80;8.87;22.34;7.01;2.85;4.71;9.97;11.83
16.22;69.12;35.37;5.84;8.76;22.50;7.03;2.81;4.76;9.73;11.47
16.11;67.52;35.72;5.83;8.59;22.37;7.00;2.76;4.66;9.75;11.66
15.79;66.79;34.48;5.71;8.52;21.71;6.65;2.70;4.57;9.66;11.32
14.49;61.16;32.00;5.21;7.76;20.55;6.15;2.46;4.17;8.81;10.41
13.85;59.12;29.47;4.85;7.32;18.97;5.74;2.38;3.97;8.21;9.79
13.30;55.42;29.07;4.77;7.16;18.59;5.63;2.30;3.84;8.01;9.55
13.04;55.66;28.16;4.65;7.06;18.11;5.48;2.24;3.74;7.97;9.30
12.71;53.08;27.99;4.50;6.84;17.61;5.15;2.17;3.62;7.80;8.93
12.24;51.04;26.33;4.39;6.54;16.70;5.08;2.08;3.54;7.47;8.54
11.58;48.90;25.59;4.20;6.27;16.30;4.87;1.99;3.39;7.08;8.26
11.88;47.95;25.29;4.15;6.12;15.81;4.88;1.97;3.35;7.14;8.31
10.70;44.53;23.54;3.81;5.68;14.91;4.35;1.81;3.08;6.42;7.49
10.08;41.88;22.16;3.51;5.32;13.58;4.19;1.69;2.82;6.13;6.95
9.66;40.08;20.82;3.48;5.04;13.26;3.96;1.62;2.76;5.88;6.72
9.34;38.53;20.24;3.35;4.90;12.40;3.81;1.56;2.65;5.71;6.52
8.23;34.45;17.94;2.96;4.34;11.14;3.42;1.38;2.35;5.01;5.67
8.10;33.89;17.68;2.85;4.33;11.16;3.41;1.38;2.40;4.94;5.86
7.84;32.50;16.91;2.78;4.19;10.67;3.26;1.32;2.24;4.77;5.55
7.63;31.31;16.34;2.70;4.07;10.51;3.17;1.28;2.18;4.64;5.26
7.64;31.45;16.41;2.70;4.03;10.48;3.23;1.33;2.18;4.70;5.41
7.74;32.39;16.68;2.76;4.11;10.59;3.24;1.35;2.22;4.69;5.42
7.64;32.34;16.82;2.69;4.08;10.76;3.22;1.35;2.21;4.81;5.43
7.63;32.17;16.81;2.74;4.18;10.61;3.22;1.30;2.26;4.80;5.33
7.67;31.65;16.84;2.85;4.15;10.81;3.23;1.35;2.27;4.87;5.50
7.48;31.33;16.47;2.74;4.07;10.69;3.22;1.33;2.18;4.68;5.25
7.38;30.70;16.31;2.66;4.07;10.23;3.13;1.26;2.15;4.63;5.19
7.66;31.98;16.42;2.73;4.12;10.72;3.30;1.34;2.20;4.74;5.36
7.48;30.48;16.31;2.60;3.95;10.36;3.16;1.30;2.09;4.60;5.20
7.38;30.92;16.59;2.73;3.99;10.53;3.20;1.32;2.16;4.70;5.12
7.56;31.30;16.50;2.71;4.04;10.51;3.19;1.33;2.19;4.80;5.23
7.52;31.31;16.22;2.70;3.97;10.59;3.22;1.32;2.18;4.78;5.20
8.22;34.66;17.86;2.98;4.50;11.68;3.46;1.47;2.46;5.18;5.81
8.53;35.10;18.35;3.09;4.59;11.95;3.63;1.55;2.45;5.28;5.97
8.56;35.20;18.57;3.01;4.52;11.68;3.61;1.51;2.48;5.38;6.03
9.06;37.18;19.13;3.15;4.78;12.32;3.77;1.52;2.59;5.63;6.30
10.77;44.72;23.24;3.79;5.76;14.84;4.61;1.90;3.12;6.57;7.25
11.03;45.42;23.92;3.86;5.79;15.09;4.62;1.93;3.17;6.82;7.72
11.00;46.35;24.34;4.05;5.96;15.90;4.68;1.99;3.19;7.03;7.95
